permit_number,permit_type,description,filed_date,issued_date,completed_date,permit_expiration_date,estimated_cost,revised_cost,existing_use,proposed_use,proposed_construction_type_description,neighborhoods_boundaries,zipcode,record_id,city,state,changed_use,estimated_revised_diff,issued_year,issued_month,completed_year,completed_month,issued_completed_days,issued_completed_years,filed_issued_days,issued_expiration_days,address,latitude,longitude
200008309233,additions alterations or repairs,site work at street level outside of bldg property lines-horizontal & vertical addition,2000-08-30,2000-11-21,2007-08-01,2006-11-21,92000000,109000000,prkng garage/public,tourist hotel/motel,constr_type_1,Financial District/South Beach,94105,828680164745,San Francisco,CA,TRUE,17000000,2000,Nov,2007,Aug,2444,7,83,2191,"125 3rd St,San Francisco,CA,94105",37.7860568,-122.4013648
201208026344,additions alterations or repairs,convert (e) office building int 399 residential apartments ground floor retail and roof deck. maintain (e) steel frame structure and garage. remove pre-cast concrete skin and replace with glass curtain wall. renovate interior of building.,2012-08-02,2012-12-31,2016-09-29,2018-11-30,75000000,75000000,office,apartments,constr_type_1,Tenderloin,94102,127820982089,San Francisco,CA,TRUE,0,2012,Dec,2016,Sep,1368,4,151,2160,"100 Van Ness Av,San Francisco,CA,94102",37.776641850000004,-122.41918200395409
201311222660,additions alterations or repairs,renovate (e) office bldg (main bldg) into 66-dwelling units. no cfc until proof of lot merger record.  additionally proj construct 11 townhouses in 4 bldgs on (e) surface parking lot total of 77 dwelling units. proj retain (e) surface parking lot & provide common open space.,2013-11-22,2014-12-02,2017-02-22,2020-10-31,62000000,62000000,school,apartments,constr_type_3,Pacific Heights,94115,132513776893,San Francisco,CA,TRUE,0,2014,Dec,2017,Feb,813,3,375,2160,"2155 Webster St,San Francisco,CA,94115",37.79050124489796,-122.43258253061225
200705010136,additions alterations or repairs,"7 story addition to existing 2 story commercial warehouse, highrise building. addition of retail, parking & 74 residential units.",2007-05-01,2012-12-06,2016-12-08,2018-11-05,35000000,31300000,retail sales,apartments,constr_type_1,Financial District/South Beach,94107,1091852291099,San Francisco,CA,TRUE,-3700000,2012,Dec,2016,Dec,1463,4,2046,2160,"72 Townsend St,San Francisco,CA,94107",37.78125708879907,-122.38956075532906
201708175140,additions alterations or repairs,"alteration to #2014-0904-5458s currently under construction. permit to make ready for laboratory tenants to be processed as future ti. this is a non-site permit therefore included in this permit are complete plans fo arch,struct & mep. all will be reviewed under the 2013 code.",2017-08-17,2018-05-09,2019-09-19,2022-04-18,30000000,30000000,vacant lot,office,constr_type_1,Potrero Hill,94158,1475016508133,San Francisco,CA,TRUE,0,2018,May,2019,Sep,498,1,265,1440,"1800 Owens St,San Francisco,CA,94158",37.767122,-122.3932046
201406269545,additions alterations or repairs,"interior expansion, exterior renovation of (e) 2 story warehouse (circa 1986). new 2nd floor, new roof, renovated & upgraded building & site.change of use from city storage facility to sf office of chief med exam.** maher: compliance with ordinance no# 155-13 required; route to dph **",2014-06-26,2015-08-06,2018-03-30,2021-07-05,28000000,28000000,"warehouse,no frnitur",office,constr_type_2,Bayview Hunters Point,94124,1346741173697,San Francisco,CA,TRUE,0,2015,Aug,2018,Mar,967,3,406,2160,"1 Newhall St,San Francisco,CA,94124",37.739359,-122.377789
9806086S,additions alterations or repairs,"seismic upgrade,new partitions,mech,elec,life safety,new rms",2000-03-30,2000-04-17,2002-11-13,2006-04-17,28000000,28000000,tourist hotel/motel,public assmbly other,constr_type_1,Financial District/South Beach,94104,66359263404,San Francisco,CA,TRUE,0,2000,Apr,2002,Nov,940,2,18,2191,"500 California St,San Francisco,CA,94104",37.793114349999996,-122.4031253855928
201611162927,additions alterations or repairs,"full tenant build out of 6 story office mid-rise improvements include full service kitchen, communicating stairs, general office space & conference facilities. architectural finishes & mep.",2016-11-16,2017-06-07,2018-10-25,2021-05-17,26000000,26000000,office,food/beverage hndlng,constr_type_1,South of Market,94107,1444664505591,San Francisco,CA,TRUE,0,2017,Jun,2018,Oct,505,1,203,1440,"505 Brannan St,San Francisco,CA,94107",37.778117306122454,-122.39664975510205
200308051235,additions alterations or repairs,"conversion of existing office bldg to residential,new seismic, fire protection,stairs,int partition",2003-08-05,2005-07-19,2008-06-27,2011-07-19,25000000,65000000,office,apartments,constr_type_1,Financial District/South Beach,94104,952114373716,San Francisco,CA,TRUE,40000000,2005,Jul,2008,Jun,1074,3,714,2191,"690 Market St,San Francisco,CA,94104",37.78781914285714,-122.40301485714286
200610044165,additions alterations or repairs,rehabilitation of 5 buildings from b office to r-1 hotel - building are part of ghirardelli square & are qualified historic buildings. alterations are primarily interior in nature with limited exterior work.,2006-10-04,2007-09-14,2009-03-24,2011-09-14,24000000,24000000,office,tourist hotel/motel,constr_type_1,Russian Hill,94109,106976970872,San Francisco,CA,TRUE,0,2007,Sep,2009,Mar,557,2,345,1461,"900 North Point St,San Francisco,CA,94109",37.8061593,-122.4225336
